,influencer,title,author,subtitle,id_code,identifier_type,ISBN
64,Barack Obama,The Sixth Man,Andre Iguodala,A Memoir,0525533982,ISBN,0525533982
65,Barack Obama,A House for Mr. Biswas,V. S. Naipaul,A Novel,0375707166,ISBN,0375707166
66,Barack Obama,The Shadow of Sirius,W.S. Merwin,,1556593104,ISBN,1556593104
67,Barack Obama,Inland,Téa Obreht,A Novel,0812992865,ISBN,0812992865
68,Barack Obama,The Yellow House,Sarah M. Broom,A Memoir (2019 National Book Award Winner),0802125085,ISBN,0802125085
69,Barack Obama,Maid,Stephanie Land,"Hard Work, Low Pay, and a Mother's Will to Survive",0316505099,ISBN,0316505099
70,Barack Obama,Arthur Ashe,Raymond Arsenault,A Life,1439189056,ISBN,1439189056
71,Barack Obama,Holy Bible,-,,1432102400,ISBN,1432102400
72,Barack Obama,Barbarian Days,William Finnegan,A Surfing Life,0143109391,ISBN,0143109391
73,Barack Obama,Janesville,Amy Goldstein,An American Story,1501102265,ISBN,1501102265
74,Barack Obama,Futureface,Alex Wagner,"A Family Mystery, an Epic Quest, and the Secret to Belonging",0812987500,ISBN,0812987500
75,Barack Obama,American Prison,Shane Bauer,A Reporter's Undercover Journey into the Business of Punishment,0735223602,ISBN,0735223602
76,Barack Obama,The Underground Railroad,Colson Whitehead,A Novel,B01A4ATV0A,ASIN,
77,Barack Obama,Wolf Hall,Hilary Mantel,,0312429983,ISBN,0312429983
78,Barack Obama,The Nickel Boys,Colson Whitehead,A Novel,0385537077,ISBN,0385537077
79,Barack Obama,A Different Way to Win,Jim Rooney,Dan Rooney's Story from the Super Bowl to the Rooney Rule,1733404910,ISBN,1733404910
80,Barack Obama,Parting the Waters,Taylor Branch,America in the King Years 1954-63,0671687425,ISBN,0671687425
81,Barack Obama,Coach Wooden and Me,Kareem Abdul-Jabbar,Our 50-Year Friendship On and Off the Court,1455542261,ISBN,1455542261
82,Barack Obama,We Live in Water,Jess Walter,Stories,0061926620,ISBN,0061926620
83,Barack Obama,Lot,Bryan Washington,Stories,0525533672,ISBN,0525533672
84,Barack Obama,Lost Children Archive,Valeria Luiselli,A novel,0525436464,ISBN,0525436464
85,Barack Obama,Five-Carat Soul,James McBride,,0735216703,ISBN,0735216703
86,Barack Obama,The Orphan Master's Son,Adam Johnson,A Novel (Pulitzer Prize for Fiction),0812982622,ISBN,0812982622
87,Barack Obama,Finding My Voice,Valerie Jarrett,My Journey to the West Wing and the Path Forward,0525558136,ISBN,0525558136
88,Barack Obama,Say Nothing,Patrick Radden Keefe,A True Story of Murder and Memory in Northern Ireland,0307279286,ISBN,0307279286
89,Barack Obama,Warlight,Michael Ondaatje,A Novel,0525562966,ISBN,0525562966
90,Barack Obama,The New Geography of Jobs,Enrico Moretti,,0544028058,ISBN,0544028058
91,Barack Obama,Washington,Ron Chernow,A Life,0143119966,ISBN,0143119966
92,Barack Obama,"Sing, Unburied, Sing",Jesmyn Ward,A Novel,1501126075,ISBN,1501126075
93,Barack Obama,Grant,Ron Chernow,,0143110632,ISBN,0143110632
94,Barack Obama,Furious Hours,Casey Cep,"Murder, Fraud and the Last Trial of Harper Lee",1785150731,ISBN,1785150731
95,Barack Obama,Heartland,Sarah Smarsh,A Memoir of Working Hard and Being Broke in the Richest Country on Earth,1501133101,ISBN,1501133101
96,Barack Obama,Solitary,Albert Woodfox,,0802148301,ISBN,0802148301
97,Barack Obama,In the Shadow of Statues,Mitch Landrieu,A White Southerner Confronts History,0525559469,ISBN,0525559469
98,Bill Gates,Army of None,Paul Scharre,Autonomous Weapons and the Future of War,0393608980,ISBN,0393608980
99,Bill Gates,Business Adventures,John Brooks,Twelve Classic Tales from the World of Wall Street,B00L1TPCKW,ASIN,
100,Bill Gates,Educated,Tara Westover,A Memoir,0525589988,ISBN,0525589988
101,Bill Gates,The Checklist Manifesto,Atul Gawande,How to Get Things Right,0312430000,ISBN,0312430000
102,Bill Gates,Why We Sleep,Matthew Walker,Unlocking the Power of Sleep and Dreams,B06ZZ1YGJ5,ASIN,
103,Bill Gates,Enlightenment Now,Steven Pinker,"The Case for Reason, Science, Humanism, and Progress",0525427570,ISBN,0525427570
104,Bill Gates,How Not to Be Wrong,Jordan Ellenberg,The Power of Mathematical Thinking,0143127535,ISBN,0143127535
105,Bill Gates,Principles,Ray Dalio,Life and Work,1501124021,ISBN,1501124021
106,Bill Gates,Moonwalking with Einstein,Joshua Foer,The Art and Science of Remembering Everything,0143120530,ISBN,0143120530
107,Bill Gates,13 Things That Don't Make Sense,Michael Brooks,The Most Baffling Scientific Mysteries of Our Time,B001DOHZ9Q,ASIN,
