,influencer,title,author_x,subtitle,id_code,identifier_type,author_y,title_en,title_pt,isbn_pt,img_amz
475,Elon Musk,Steve Jobs,Walter Isaacson,,1501127624,ISBN,Walter Isaacson,Steve Jobs,Steve Jobs,8535919716,https://images-na.ssl-images-amazon.com/images/I/81ZUTqZPK9L.jpg
476,Ray Dalio,Steve Jobs,Walter Isaacson,,1501127624,ISBN,Walter Isaacson,Steve Jobs,Steve Jobs,8535919716,https://images-na.ssl-images-amazon.com/images/I/81ZUTqZPK9L.jpg
477,Gary Vaynerchuk,Steve Jobs,Walter Isaacson,,1501127624,ISBN,Walter Isaacson,Steve Jobs,Steve Jobs,8535919716,https://images-na.ssl-images-amazon.com/images/I/81ZUTqZPK9L.jpg
478,Bill Gates,Reinventing American Health Care,Ezekiel J. Emanuel,"How the Affordable Care Act will Improve our Terribly Complex, Blatantly Unjust, Outrageously Expensive, Grossly Inefficient, Error Prone System",1610395425,ISBN,Ezekiel J. Emanuel,Reinventing American Health Care,,,https://images-na.ssl-images-amazon.com/images/I/51Nv59PnIwL.jpg
480,Bill Gates,Mountains Beyond Mountains,Tracy Kidder,"The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",375506160,ISBN,Tracy Kidder,Mountains Beyond Mountains,Muito Além das Montanhas,8575425692,"https://images-na.ssl-images-amazon.com/images/I/51d9W+yUjUL._SX335_BO1,204,203,200_.jpg"
482,Richard Branson,Mountains Beyond Mountains,Tracy Kidder,"The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",375506160,ISBN,Tracy Kidder,Mountains Beyond Mountains,Muito Além das Montanhas,8575425692,"https://images-na.ssl-images-amazon.com/images/I/51d9W+yUjUL._SX335_BO1,204,203,200_.jpg"
483,Bill Gates,Homo Deus,Yuval Noah Harari,A Brief History of Tomorrow,62464345,ISBN,Yuval Noah Harari,Homo Deus,Homo Deus,8535928197,https://images-na.ssl-images-amazon.com/images/I/81ql3Ty2O2L.jpg
485,Richard Branson,Homo Deus,Yuval Noah Harari,A Brief History of Tomorrow,62464345,ISBN,Yuval Noah Harari,Homo Deus,Homo Deus,8535928197,https://images-na.ssl-images-amazon.com/images/I/81ql3Ty2O2L.jpg
486,Bill Gates,Epic Measures,Jeremy N. Smith,One Doctor. Seven Billion Patients.,62237519,ISBN,Jeremy N. Smith,Epic Measures,,,"https://images-na.ssl-images-amazon.com/images/I/41UE9wi5y0L._SX330_BO1,204,203,200_.jpg"
488,Bill Gates,Bad Blood,John Carreyrou,Secrets and Lies in a Silicon Valley Startup,152473165X,ISBN,John Carreyrou,Bad Blood,Bad blood,8550804533,"https://images-na.ssl-images-amazon.com/images/I/41B9+bfSVtL._SX344_BO1,204,203,200_.jpg"
490,Bill Gates,Tomorrow's Table,Pamela C. Ronald,"Organic Farming, Genetics, and the Future of Food",199342083,ISBN,Pamela C. Ronald,Tomorrow's Table,,,https://images-na.ssl-images-amazon.com/images/I/41KBlu8904L.jpg
492,Bill Gates,Thing Explainer,Randall Munroe,Complicated Stuff in Simple Words,544668251,ISBN,Randall Munroe,Thing Explainer,Explica tudo,8535929533,"https://images-na.ssl-images-amazon.com/images/I/51+g-AkbboL._SX348_BO1,204,203,200_.jpg"
494,Bill Gates,The Rise and Fall of American Growth,Robert J. Gordon,The U.S. Standard of Living since the Civil War,691147728,ISBN,Robert J. Gordon,The Rise and Fall of American Growth,,,https://m.media-amazon.com/images/I/51-ZnWGVKOL._SY346_.jpg
496,Bill Gates,Nine Pints,Rose George,"A Journey Through the Mysterious, Miraculous World of Blood",1846276144,ISBN,Rose George,Nine Pints,,,"https://images-na.ssl-images-amazon.com/images/I/41cExL1ifbL._SX324_BO1,204,203,200_.jpg"
498,Bill Gates,Money Well Spent,Paul Brest,A Strategic Plan for Smart Philanthropy,1503602613,ISBN,Paul Brest,Money Well Spent,,,"https://images-na.ssl-images-amazon.com/images/I/51362Cpou1L._SX327_BO1,204,203,200_.jpg"
500,Bill Gates,I Contain Multitudes,Ed Yong,The Microbes Within Us and a Grander View of Life,62368591,ISBN,Ed Yong,I Contain Multitudes,,,"https://images-na.ssl-images-amazon.com/images/I/51B6q1X69TL._SX331_BO1,204,203,200_.jpg"
502,Bill Gates,Frank Stewart's Bridge Club,Frank Stewart,,1894154584,ISBN,Frank Stewart,Frank Stewart's Bridge Club,,,https://images-na.ssl-images-amazon.com/images/I/61i-3v-kaDL.jpg
504,Bill Gates,Believe Me,Eddie Izzard,"A Memoir of Love, Death, and Jazz Chickens",399175830,ISBN,Eddie Izzard,Believe Me,,,https://m.media-amazon.com/images/I/51N6WOvZPQL._SY346_.jpg
506,Bill Gates,Being Nixon,Evan Thomas,A Man Divided,812985419,ISBN,Evan Thomas,Being Nixon,,,https://m.media-amazon.com/images/I/41yxEJeaLbL._SY346_.jpg
508,Bill Gates,The Prize,Daniel Yergin,"The Epic Quest for Oil, Money & Power",1439110123,ISBN,Daniel Yergin,The Prize,O petróleo,8577531295,https://images-na.ssl-images-amazon.com/images/I/81tufH+hKbL.jpg
510,Bill Gates,The Foundation,Joel L. Fleishman,A Great American Secret; How Private Wealth is Changing the World,1586487027,ISBN,Joel L. Fleishman,The Foundation,,,https://images-na.ssl-images-amazon.com/images/I/71r6LENH2lL.jpg
512,Bill Gates,The Cost of Hope,Amanda Bennett,A Memoir,140006984X,ISBN,Amanda Bennett,The Cost of Hope,,,https://m.media-amazon.com/images/I/41L2jyEx0qL.jpg
514,Bill Gates,The Bully Pulpit,Doris Kearns Goodwin,"Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",141654786X,ISBN,Doris Kearns Goodwin,The Bully Pulpit,,,https://m.media-amazon.com/images/P/B00BAWHPX2.01._SCLZZZZZZZ_SX500_.jpg
516,Bill Gates,The Best We Could Do,Thi Bui,An Illustrated Memoir,1419718789,ISBN,Thi Bui,The Best We Could Do,O melhor que podíamos fazer,9788582864135,"https://images-na.ssl-images-amazon.com/images/I/41+GPNwKOzL._SX352_BO1,204,203,200_.jpg"
518,Bill Gates,Beyond the Crash,Gordon Brown,Overcoming the First Crisis of Globalization,1451624069,ISBN,Gordon Brown,Beyond the Crash,,,https://m.media-amazon.com/images/I/41PW8JBgrML._SY346_.jpg
520,Bill Gates,A Full Life,Jimmy Carter,Reflections at Ninety,1501115642,ISBN,Jimmy Carter,A Full Life,,,https://images-na.ssl-images-amazon.com/images/I/71ybciYUhWL.jpg
522,Richard Branson,A Full Life,Jimmy Carter,Reflections at Ninety,1501115642,ISBN,Jimmy Carter,A Full Life,,,https://images-na.ssl-images-amazon.com/images/I/71ybciYUhWL.jpg
523,Bill Gates,Interventions,Kofi Annan,A Life in War and Peace,143123955,ISBN,Kofi Annan,Interventions,Intervenções,853592258X,https://m.media-amazon.com/images/I/51o3TBZZWyL._SY346_.jpg
525,Bill Gates,Give Smart,Thomas J. Tierney,Philanthropy that Gets Results,1610391462,ISBN,Thomas J. Tierney,Give Smart,,,https://m.media-amazon.com/images/I/41hU-EtcJZL._SY346_.jpg
527,Bill Gates,Eradication,Nancy Leys Stepan,Ridding the World of Diseases Forever?,801456843,ISBN,Nancy Leys Stepan,Eradication,,,https://m.media-amazon.com/images/I/31ZXELfgmpL.jpg
529,Bill Gates,Dirt and Disease,Naomi Rogers,Polio Before FDR,813517869,ISBN,Naomi Rogers,Dirt and Disease,,,"https://images-na.ssl-images-amazon.com/images/I/51AHTOVLK5L._SX332_BO1,204,203,200_.jpg"
531,Bill Gates,Buffett,Roger Lowenstein,The Making of an American Capitalist,812979273,ISBN,Roger Lowenstein,Buffett,Warren Buffett - A Formacao De Um Capitalista Americano,8520907954,"https://images-na.ssl-images-amazon.com/images/I/51fcsAnHWGL._SX348_BO1,204,203,200_.jpg"
533,Bill Gates,Reinventing Fire,Amory Lovins,Bold Business Solutions for the New Energy Era,1603583718,ISBN,Amory Lovins,Reinventing Fire,Reinventando o Fogo,8531612217,"https://images-na.ssl-images-amazon.com/images/I/51iRr6WIDSL._SX373_BO1,204,203,200_.jpg"
535,Bill Gates,Polio,David M. Oshinsky,An American Story,195307143,ISBN,David M. Oshinsky,Polio,,,https://images-na.ssl-images-amazon.com/images/I/81CSVQ9R8QL.jpg
537,Bill Gates,The Hunger Games,Suzanne Collins,,439023483,ISBN,Suzanne Collins,The Hunger Games,Jogos Vorazes,8532503292,"https://images-na.ssl-images-amazon.com/images/I/41APnNqyIrL._SX401_BO1,204,203,200_.jpg"
539,Taylor Swift,The Hunger Games,Suzanne Collins,,439023483,ISBN,Suzanne Collins,The Hunger Games,Jogos Vorazes,8532503292,"https://images-na.ssl-images-amazon.com/images/I/41APnNqyIrL._SX401_BO1,204,203,200_.jpg"
540,LeBron James,The Hunger Games,Suzanne Collins,,439023483,ISBN,Suzanne Collins,The Hunger Games,Jogos Vorazes,8532503292,"https://images-na.ssl-images-amazon.com/images/I/41APnNqyIrL._SX401_BO1,204,203,200_.jpg"
541,Bill Gates,Smallpox,D.A. Henderson,The Death of a Disease,1591027225,ISBN,D.A. Henderson,Smallpox,,,"https://images-na.ssl-images-amazon.com/images/I/41y0Q-v8ghL._SX332_BO1,204,203,200_.jpg"
543,Bill Gates,House on Fire,William H. Foege,The Fight to Eradicate Smallpox,520268369,ISBN,William H. Foege,House on Fire,,,https://images-na.ssl-images-amazon.com/images/I/41G+PAyfeCL.jpg
545,Bill Gates,Breath from Salt,Bijal P. Trivedi,"A Deadly Genetic Disease, a New Era in Science, and the Patients and Families Who Changed Medicine Forever",1948836378,ISBN,Bijal P. Trivedi,Breath from Salt,,,https://m.media-amazon.com/images/I/41LO3yk08sL._SY346_.jpg
547,Bill Gates,The Spy and the Traitor,Ben Macintyre,The Greatest Espionage Story of the Cold War,1101904216,ISBN,Ben Macintyre,The Spy and the Traitor,O Espião e o Traidor,,"https://images-na.ssl-images-amazon.com/images/I/51KNcd3xwsL._SX333_BO1,204,203,200_.jpg"
549,Bill Gates,The Splendid and the Vile,Erik Larson,"A Saga of Churchill, Family, and Defiance During the Blitz",593172078,ISBN,Erik Larson,The Splendid and the Vile,O Esplêndido e o Vil,655560090X,https://m.media-amazon.com/images/P/B08L5NCZ7H.01._SCLZZZZZZZ_SX500_.jpg
551,Bill Gates,The New Jim Crow,Michelle Alexander,Mass Incarceration in the Age of Colorblindness,1595586431,ISBN,Michelle Alexander,The New Jim Crow,A nova segregação,8575595555,"https://images-na.ssl-images-amazon.com/images/I/51lj0JB1IuL._SX346_BO1,204,203,200_.jpg"
553,Mark Zuckerberg,The New Jim Crow,Michelle Alexander,Mass Incarceration in the Age of Colorblindness,1595586431,ISBN,Michelle Alexander,The New Jim Crow,A nova segregação,8575595555,"https://images-na.ssl-images-amazon.com/images/I/51lj0JB1IuL._SX346_BO1,204,203,200_.jpg"
554,Joe Rogan,Tribe,Sebastian Junger,On Homecoming and Belonging,1455566381,ISBN,Sebastian Junger,Tribe,,,"https://images-na.ssl-images-amazon.com/images/I/517iB43y3wL._SX335_BO1,204,203,200_.jpg"
556,Tim Ferriss,Tribe,Sebastian Junger,On Homecoming and Belonging,1455566381,ISBN,Sebastian Junger,Tribe,,,"https://images-na.ssl-images-amazon.com/images/I/517iB43y3wL._SX335_BO1,204,203,200_.jpg"
557,Emma Watson,Tribe,Sebastian Junger,On Homecoming and Belonging,1455566381,ISBN,Sebastian Junger,Tribe,,,"https://images-na.ssl-images-amazon.com/images/I/517iB43y3wL._SX335_BO1,204,203,200_.jpg"
560,Joe Rogan,The Book of Five Rings,Miyamoto Musashi,,1935785974,ISBN,Miyamoto Musashi,The Book of Five Rings,Musashi: O livro dos cinco anéis,8542806026,"https://images-na.ssl-images-amazon.com/images/I/415s3Z9u3fL._SX348_BO1,204,203,200_.jpg"
562,Jocko Willink,The Book of Five Rings,Miyamoto Musashi,,1935785974,ISBN,Miyamoto Musashi,The Book of Five Rings,Musashi: O livro dos cinco anéis,8542806026,"https://images-na.ssl-images-amazon.com/images/I/415s3Z9u3fL._SX348_BO1,204,203,200_.jpg"
563,PewDiePie,The Book of Five Rings,Miyamoto Musashi,,1935785974,ISBN,Miyamoto Musashi,The Book of Five Rings,Musashi: O livro dos cinco anéis,8542806026,"https://images-na.ssl-images-amazon.com/images/I/415s3Z9u3fL._SX348_BO1,204,203,200_.jpg"
564,Joe Rogan,The Happiness Hypothesis,Jonathan Haidt,Finding Modern Truth in Ancient Wisdom,465028020,ISBN,Jonathan Haidt,The Happiness Hypothesis,Uma Vida Que Vale A Pena,8535219986,https://images-na.ssl-images-amazon.com/images/I/51v6Ltr3XQL.jpg
566,Joe Rogan,Sex at Dawn,Christopher Ryan,"How We Mate, Why We Stray, and What It Means for Modern Relationships",61707813,ISBN,Christopher Ryan,Sex at Dawn,Sexo Antes de Tudo,8566549694,"https://images-na.ssl-images-amazon.com/images/I/41DmXUyJVcL._SX350_BO1,204,203,200_.jpg"
